BusName,BusNo,BusType,MaxSeats,BasePrice
Volvo Express,101,AC Sleeper,10,550.00
Luxury Coach,102,AC Seater,33,480.00
Swift Travels,103,Non-AC Sleeper,50,320.00
City Rider,104,Non-AC Seater,25,200.00
Mountain King,105,AC Deluxe,30,600.00
Delhi Travels,106,AC Seater,40,450.00
Goa Express,107,AC Sleeper,20,800.00
Hyderabad Line,108,AC Seater,45,350.00
Puri Express,109,Non-AC Sleeper,30,400.00
Udaipur Travels,110,AC Seater,25,300.00
Haridwar Express,111,Non-AC Seater,35,350.00
Nashik Line,112,Non-AC Seater,40,250.00
Pondicherry Express,113,Non-AC Seater,30,280.00
Mathura Travels,114,Non-AC Seater,50,120.00
Amritsar Express,115,AC Sleeper,25,600.00
Mysore Line,116,Non-AC Seater,45,200.00
Darjeeling Express,117,AC Sleeper,20,550.00
Vijayawada Travels,118,AC Seater,35,320.00
Vadodara Express,119,Non-AC Seater,40,150.00
Dehradun Line,120,AC Seater,30,400.00
Aurangabad Travels,121,AC Seater,25,300.00
Coimbatore Express,122,AC Sleeper,35,450.00
Jodhpur Line,123,AC Seater,30,350.00
Bhubaneswar Express,124,AC Sleeper,25,500.00
Chennai Travels,125,AC Sleeper,40,400.00
Agra Express,126,AC Seater,50,250.00
Bangalore Line,127,AC Sleeper,35,450.00
Surat Travels,128,AC Seater,45,280.00
Pune Express,129,AC Sleeper,20,350.00
Jaipur Line,130,AC Sleeper,37,550.00
Madurai Express,131,AC Seater,30,380.00
Varanasi Travels,132,AC Sleeper,25,650.00
Hyderabad Express,133,AC Seater,45,350.00
Delhi Line,134,AC Sleeper,50,550.00
Goa Travels,135,AC Sleeper,20,800.00
Nagpur Express,136,AC Sleeper,30,500.00
Manali Line,137,AC Sleeper,25,700.00
Bangalore Express,138,AC Sleeper,40,320.00
Puri Travels,139,AC Seater,35,400.00
Mumbai Express,140,AC Sleeper,20,900.00
Chandigarh Line,141,AC Seater,45,450.00
Udaipur Express,142,AC Seater,30,300.00
Vijayawada Line,143,AC Seater,40,320.00
Pune Travels,144,AC Seater,50,480.00
Pondicherry Line,145,Non-AC Seater,35,280.00
Haridwar Travels,146,AC Seater,40,350.00
Mysore Express,147,Non-AC Seater,45,200.00
Darjeeling Line,148,AC Sleeper,25,550.00
Jaisalmer Express,149,AC Sleeper,20,600.00
Rishikesh Travels,150,AC Seater,30,380.00
Omkar,151,Sleeper,54,852.00
Omkar,890,AC,78,521.00
